Year,Title,Origin,Director,Cast,Genre,Plot
1906,"dream rarebit fiend","american","wallace mccutcheon edwin s porter","","short","rarebit fiend gorges welsh rarebit restaurant when he leaves he begins get dizzy as he starts hallucinate he desperately tries hang onto lamppost as world spins all around him man helps him get home he falls into bed begins having more hallucinatory dreams during dream sequence furniture begins moving around room imps emerge from floating welsh rarebit container begin poking his head as he sleeps his bed then begins dancing spinning wildly around room before flying out window fiend it bed floats across city as fiend floats up off bed he hangs off back eventually gets caught weathervane atop steeple his bedclothes tear he falls from sky crashing through his bedroom ceiling fiend awakens from dream after falling out his bed"
1906,"from leadville aspen hold-up rockies","american","francis j marion wallace mccutcheon","","short actioncrime western","film features train traveling through rockies hold up created by two thugs placing logs line they systematically rob wealthy occupants gunpoint then make their getaway along tracks later by hi-jacked horse cart"
1906,"kathleen mavourneen","american","edwin s porter","","short film","irish villager kathleen is tenant captain clearfield who controls local judges criminals her father owes clearfield large debt terence o'more saves village from clearfield causing large celebration"
1907,"daniel boone","american","wallace mccutcheon ediwin s porter","william craven florence lawrence","biographical","boone's daughter befriends indian maiden as boone his companion start out hunting expedition while he is away boone's cabin is attacked by indians who set it fire abduct boone's daughter boone returns swears vengeance then heads out trail indian camp his daughter escapes but is chased indians encounter boone which sets off huge fight edge cliff burning arrow gets shot into indian camp boone gets tied stake tortured burning arrow sets indian camp fire causing panic boone is rescued by his horse boone has knife fight which he kills indian chief2"
1907,"how brown saw baseball game","american","unknown","unknown","comedy","before heading out baseball game nearby ballpark sports fan mr brown drinks several highball cocktails he arrives ballpark watch game but has become so inebriated that game appears him reverse players running bases backwards baseball flying back into pitcher's hand after game is over mr brown is escorted home by one his friends when they arrive brown's house they encounter his wife who becomes furious friend proceeds physically assault him believing he is responsible her husband's severe intoxication1"
1907,"laughing gas","american","edwin stanton porter","bertha regustus edward boulden","comedy","plot is that black woman going dentist toothache being given laughing gas her way walking home other situations she can't stop laughing everyone she meets catches laughter from her including vendor police officers"
1908,"adventures dollie","american","d w griffith","arthur v johnson linda arvidson","drama","beautiful summer day father mother take their daughter dollie outing river mother refuses buy gypsy's wares gypsy tries rob mother but father drives him off gypsy returns camp devises plan they return kidnap dollie while her parents are distracted rescue crew is organized but gypsy takes dollie his camp they gag dollie hide her barrel before rescue party gets camp once they leave gypsies escapes their wagon as wagon crosses river barrel falls into water still sealed barrel dollie is swept downstream dangerous currents boy who is fishing river finds barrel dollie is reunited safely her parents"
1908,"black viper","american","d w griffith","d w griffith","drama","thug accosts girl as she leaves her workplace but man rescues her thug vows revenge help two friends attacks girl her rescuer again as they're going walk this time they succeed kidnapping rescuer he is bound gagged taken away cart girl runs home gets help from several neighbors they track ruffians down cabin mountains where gang has trapped their victim set cabin fire thug rescuer fight roof house"
1908,"calamitous elopement","american","dw griffith","harry solter linda arvidson","comedy","young couple decides elope after being caught midst romantic moment by woman's angry father they make plans leave but thief discovers their plans hides their trunk waits right moment steal their belongings"
1908,"call wild","american","d w griffith","charles inslee","adventure","white girl florence lawrence rejects proposal from indian brave charles inslee this early one-reel western melodrama despite rejection indian still comes girl's defense when she is abducted by his warring tribe her first year films florence lawrence was already most popular among biograph company's anonymous stock company players by 1909 she was known world over as biograph girl"
1908,"christmas carol","american","unknown","tom ricketts","drama","no prints first american film adaptation christmas carol are known exist1 but moving picture world magazine provided scene-by-scene description before film's release2 scrooge goes into his office begins working his nephew along three women who wish scrooge donate enter however scrooge dismisses them night christmas eve his long-dead partner jacob marley comes as ghost warning him horrible fate if he does not change his ways scrooge meets three spirits that show scrooge real meaning christmas along his grave result his parsimonious ways next morning he wakes realizes error his ways scrooge was then euphoric generous rest his life"
1908,"fight freedom","american","d w griffith","florence auer john g adolfi","western","film opens town mexican border poker game is going local saloon one players cheats is shot dead by another players mexican named pedro uproar that follows pedro is wounded as he escapes from saloon sheriff is called who tracks pedro his home but pedro kills sherriff too while pedro hides his wife juanita is arrested suspicion murdering sheriff pedro rescues her from town jail two head mexican border caught by posse before they reach border juanita is killed film ends pedro being arrested taken back town"
1909,"altar","american","d w griffith","marion leonard","drama","rejected admirer sets up trap kill his sweetheart her fiance before they married then commit suicide but before he passes away he leaves confession fortunately confession is found time police man runs church save couple"
1909,"drunkard's reformation","american","d w griffith","arthur v johnson","drama","john wharton husband true trusting wife father eight-year-old girl through association rakish companions becomes addicted drink habit while demon rum has not fastened its tentacles firmly there is no question that given free rein inevitable would culminate time arriving home one afternoon wine besotted condition he is indeed terrifying spectacle his little family later after he has slept off effects some extent while supper little girl shows him two tickets theater begging him take her after some persuasion he consents go play is dramatization mile zola's l'assommoir which shows how short journey it is from peace happiness woe despair by road rum final curtain play he is changed man going homeward firm determination that he will drink no more which he promises his wife upon his return two years later we find little family seated happy peaceful fireside we know that promise has been kept"
1909,"golden louis","american","d w griffith","","drama","old woman sends girl begging streets paris snowy evening callous revelers pass her by she falls asleep before one donor finally drops golden louis her shoe gambler sure tip roulette but no cash borrows coin win fortune girl she wakes two miss each other wandering streets until gambler finds girl dead"
1909,"lure gown","american","dw griffith","marion leonard","otros","story as told by moving picture world reads"
1910,"arcadian maid","american","dw griffith","mary pickford mack sennett","drama","mary pickford plays priscilla unemployed maid who finds work farm there she meets no-good peddler who starts flirting her makes her fall love him he runs up gambling bill asks her help him pay his debts or he won't be able marry her1"
1910,"christmas carol","american","j searle dawley","marc mcdermott charles stanton ogle","otros","day before christmas ebenezer scrooge refuses contribute charity relief committee then rudely rejects his nephew fred when he visits scrooge his office when scrooge returns home he sees ghost his former business partner jacob marley who warns him punishment he will suffer next life if he does not change his ways that night scrooge is visited by three more spirits who show him his past present future him"
1910,"frankenstein","american","j searle dawley","augustus phillips charles stanton ogle mary fuller","otros","described as liberal adaptation mrs shelley's famous story plot description edison kinetogram was3"
1910,"hemlock hoax detective","american","unknown","","comedy","hemlock hoax is detective who has little respect small tropical town where he lives despite fact that he thinks he is better sleuth than sherlock holmes pair boys decide play trick hoax tell him about murder hoax rushes scene crime where he discovers shred cloth later finding that tramp is wearing same type clothes that he found tramp runs away hoax gives chase other people helping pursuit eventually hoax captures tramp aid police officer returns victim's body man hoax then comes realization that body was just dummy that had been stuffed leaves crowd has laugh hoax's expense while two boys are punished1"
1910,"house closed shutters","american","dw griffith","henry b walthall","drama","during american civil war young soldier loses his nerve battle runs away his home hide his sister puts his uniform takes her brother's place battle is killed their mother not wanting shameful truth become known closes all shutters hence film's title keeps her son's presence secret many years until two boyhood chums stumble upon truth"
1910,"lad from old ireland","american","sidney olcott","sidney olcott gene gauntier thomas o'connor","drama","irish boy olcott emigrates america escape desperate poverty ireland after finding work construction he finds success politics he returns ireland after receiving letter from his sweetheart gauntier just as her destitute family is being forced off their land3"
1910,"pocahontas","american","unknown","anna rosemond george barnes frank h crane","short fantasy","though film is presumed lost synopsis survives moving picture world from october 15 1910 it states captain john smith comes america as head band english colonists settles jamestown virginia while head colony smith makes trip exploration into interior is captured there by king powhatan acknowledged head all red men virginia powhatan orders his prisoner's execution just as fatal club is about descend pocahontas favorite daughter king throws herself before her father she begs so fervently that white man's life be spared that powhatan relents orders his release captain smith returns safety his friends later pocahontas is taken prisoner by english held as hostage while prisoner she is converted christianity falls love rolfe handsome young englishman they are married rude little church jamestown indian princess sails away her husband england there she is received royal honors by king james i but foreign flower cannot stand transplanting she soon sickens dies her last hours is visited by visions home wilderness that she would fly back if she could1"
1910,"ramona","american","d w griffith","mary pickford henry b walthall","drama","ramona chronicles romance between ramona mary pickford spanish orphan from prestigious moreno family alessandro henry b walthall indian who appears her family's ranch one day man named felipe francis j grandon proclaims his love ramona but she rejects him because she has fallen alessandro they fall deeply love yet their desire wed is denied by ramona's stepmother who reacts by exiling alessandro from her ranch he returns his village only find that it has been demolished by white men meanwhile ramona is informed that she also has indian blood which leads her abandon everything she has be alessandro they marry live among wreckage alessandro's devastated village they have child together live peace until white men come force them from their home as they claim land their baby perishes then alessandro is then killed by white men ramona is then rescued by felipe returned her family back ranch3"
1910,"what daisy said","american","dw griffith","clara t bracy mary pickford mack sennett","otros","film opens upon two sisters martha played by mary pickford millie played by gertrude robinson standing field daisies millie plucks petals off one divine whether he loves me he loves me not girls part ways martha's next stop is vegetable patch which lanky farmhand diligently labors shovel she passes up farmhand's polite offer become sweethearts promptly steals away town get her palm read by woman fortuneteller there mustachioed gypsy catches her eye he tells her fortune which he plans her future his liking pair run off together crossing brook into which he saves her from falling they arrive waterfall where he induces her believe his prophecy must be true after that brief exchange martha jubilantly skips home passing lanky farmhand who pays her no heed"
Arriving at the homestead,"she immediately resolves return waterfall their second meeting","gypsy greets martha open arms after some animated entreaties she meets his embrace brief cutaway","millie looks martha orchard","but can't find her martha reluctantly bids gypsy adieuafter she is gone","he laughs struts confidently martha's stealthy return escapes notice father millie who are sitting porch homestead they seem accept explanation her absence when she motions second story house martha then talks millie into getting her own fortune read they slip away","over rough-hewn fence"
Millie,"meantime","has bounced home back waterfall","where gypsy bids her sit conveniently-placed bench martha wanders back waterfall via orchard","where she is horrified find gypsy his arm around millie observes them long enough witness him kiss millie cheek heartbroken","martha returns orchard weep complicate things","old man tears gypsy from his daughter reproves him wildly father raises his cane strike gypsy"
The gypsy flees through the field of daisies as a growing mob of farmhands set out looking for him. After passing through an overgrown field and over the brook,"gypsy arrives orchard martha","unaware his wrongdoing","yields his pleading successfully conceals him barrel underneath potatoes she empties out bushel basket after farmhand posse passes","just as father is recovering help millie passerby waterfall","gypsy emerges from barrel bids jilted martha hasty perfunctory farewell posse eventually catch up gypsy back fortuneteller's wagon","which he does bindle over his shoulder dejected martha"
1910,"wonderful wizard oz","american","otis turner unconfirmed","bebe daniels","otros","kansas dorothy imogene cow are chased by mule farmhands draw their muskets beast dorothy runs off their field discovers that family scarecrow is alive scarecrow begins notice storm building up hurries mule cow toto dorothy behind haystack tornado appears overhead carries haystack away thus letting it fall into land oz"
1911,"baseball bloomers","american","unknown","william garwood marguerite snow","silent sports","though film is presumed lost synopsis survives moving picture world from january 7 1911 it states miss street's seminary girls has very ambitious class pupils young athletes not content basketball tennis aspire shine great american game organize baseball club they are so satisfied themselves that they finally send challenge adair college which has crowd husky young athletes club that thinks it amounts something when challenge is received boys are first angry then amused they decide accept it have fun girls young women after some practice realize that their team while it may be pretty look is little real use diamond prospect makes them weep fortunately girls jack brother president arrives from harvard his chum jim is him these two young men are baseball stars themselves when they are told predicament girls they goodnaturedly offer help them out university men disguise themselves as girls act as battery young women college boys who had looked laughable victory are mowed down inning after inning because work pitcher jack catcher jim other members 'girl' team have nothing do except look pretty when boy athletes have retired from field vanquished girls reward their battery one kiss - only one - from each other seven players1"
1911,"black arrow tale two roses","american","oscar apfel","charles ogle natalie jerome","drama","novel is set reign old king henry vi 14221461 14701471 during wars roses 14551487 story begins tunstall moat house alarm bell rung summon recruits its absent lord sir daniel brackley join battle risingham which outlaw fellowship known as black arrow begins strike its four black arrows four black hearts brackley three his retainers nicholas appleyard bennet hatch sir oliver oates parson rhyme posted explanation this attack makes protagonist richard 'dick' shelton ward sir daniel curious about death his father sir harry shelton having been dispatched kettley where sir daniel was quartered sent tunstall moat house by return dispatch he falls fugitive joanna sedley disguised as boy alias john matcham heiress kidnapped by sir daniel obtain guardianship over her retain his control over richard by marrying her him"
The second half of the novel,"books 35","tells how dick rescues joanna from sir daniel help both black arrow fellowship yorkist army led by richard crookback","future richard iii england it centres shoreby","where lancastrian forces are entrenched robert louis stevenson inserts seafaring adventure chapters 46 book 3","wherein dick outlaws steal ship attempt seaside rescue joanna they are unsuccessful","dick visits her guise franciscan friar stevenson"
While shadowing Sir Daniel,"dick outlaws encounter another group spies interested joanna after skirmish which outlaws prevail","dick finds that he has conquered joanna's lawful guardian","lord foxham","who promises give joanna dick marriage after contemplated seaside rescue there is irony foxham scolding dick","who is nobly born","foxham writes letters recommendation dick richard crookback"
Richard Crookback,"duke gloucester","makes his appearance book 5 as dick is leaving shoreby he sees crookback holding his own against seven or eight lancastrian assailants","assists his victory dick's accurate knowledge lancastrian forces shoreby aid crookback winning battle that he wages later that day dick is also successful as one crookback's commanders crookback knights dick field battle","following their victory","gives him fifty horsemen pursue sir daniel","but loses his men process he"
1911,"brown harvard","american","colin campbell","edgar g wynn","drama","story deals tom brown's efforts save his fiance's black sheep brother wilfred kenyon from disgrace unfortunate state affairs exists between wilfred marion thorne sister gerald who is stroking varsity crew situation is misunderstood by all but tom matters reach climax day big boat race between harvard champion english crew thorne as he is about enter boat is given anonymous note effect that marion is about leave town one college men he throws race rashes his sister whom he finds possession tom's check amount cover her expenses check has been forged by wilfred crazed grief anger he rushes back boathouse meantime tom brown thorne's substitute has stroked harvard crew victory he is faced by irate thorne who brands him as scoundrel producing check substantiate his charges brown remains silent preferring be misunderstood rather than expose his loved one's brother wilfred confesses wrongs are righted"
1911,"her sake","american","unknown","william garwood","otros","film is period drama taking place right before start american civil war young southern girl chooses between two suitors she chooses man who goes fight stars bars confederacy whilst rejected suitor goes fight union during war confederate soldier is captured brought before union officer who recognizes him as his rival union man is cruel his rival tries break his spirit harsh treatment girl hears his plight becomes determined rescue him she evades guards gives her lover file free himself from bars together they flee are discovered final moments their escape one sentries shoots man but his shot misses two flee horseback1 union officer is enraged by escape tracks pair girl's home just over federal line he sets up guards around house enters alone take them prisoner by his own hand he makes his way through house breaks down doors find man he wants upon finding man he does not arrest him - confederate soldier is grief-stricken bending over body his fiance bullet sentry shot him instead took her life together two rivals mourn her death union officer leaves without arresting his rival - her sake1"
1911,"david copperfield","american","theodore marston","marie eline florence la badie mignon anderson william russell","drama","david copperfield consists three reels as three separate films released three consecutive weeks three different titles early life david copperfield little em'ly david copperfield loves david copperfield4"
1911,"pasha's daughter","american","unknown","william garwood","otros","film begins jack sparks young american who is traveling turkey he befriends aged turk during carriage ride turk invites jack into his home man smokes from hookah several other men arrive speak turk whilst jack wanders about house soon afterwards men are all arrested conspiracy against government jack is imprisoned as one conspirators jail jack tries make his escape throws guard ground no sooner has he left cell is he forced back by two more guards he struggles vain but is once again locked his cell jack gets idea escape when he sees bed sheet cell window using his pocket knife he digs out bar cell window drops freedom he struggles overpowers guard before climbing over wall into courtyard pasha's palace1"
1911,"sweet memories","american","thomas h ince","mary pickford king baggot","drama","polly biblett mary pickford young lady tells her grandmother lettie about her new boyfriend news provokes elderly woman reminisce about her own sweetheart long time before touching sequence expresses power lives going older woman aging as her grandchildren grow knowing they will soon have children their own"
1912,"deserter","american","thomas h ince","francis ford ethel grandin","otros","story concerns soldier who deserts his regiment encounters wagon train settlers when finding attack by american indians is eminent he returns his unit order elicit help"
1912,"dr jekyll mr hyde","american","lucius henderson","james cruze","horror","white-haired dr jekyll has secretly locked himself his laboratory administering himself vial formula he slumps into his chair his head his chest slowly as drug takes effect dark-haired taloned beast now appears chair after repeated use jekyll's evil alter ego emerges will causing jekyll murder his sweetheart's father evil personality scuttles back laboratory only discover that antidote is finished that he will be as mr hyde forever burly policeman breaks down jekyll's door find that kindly doctor is dead after taking poison"
1912,"land beyond sunset","american","harold m shaw","martin fuller mrs william bechtel walter edwin bigelow cooper","otros","joe is impoverished new york newsboy who lives his abusive grandmother while selling papers he is given ticket children's excursion sponsored by fresh air fund"
1912,"musketeers pig alley","american","d w griffith","elmer booth lillian gish","drama","film is about poor married couple living new york city husband works as musician must often travel work when returning his wallet is taken by gangster his wife goes ball where man tries drug her but his attempt is stopped by same man who robbed husband two criminals become rivals shootout ensues husband gets caught shootout recognizes one men as gangster who took his money husband sneaks his wallet back gangster goes safety couple's apartment policemen track gangster down but wife gives him false alibi"
1912,"new york hat","american","david wark griffith","mary pickford lionel barrymore lillian gish","otros","mollie goodhue leads cheerless impoverished life largely because her stern miserly father mrs goodhue is mortally ill but before dying she gives minister preacher bolton some money which buy her daughter finery her father always forbade her"
1912,"petticoat camp","american","unknown","william garwood florence la badie","comedy","only lasting 15 minutes it is light-hearted comedy about battle between sexes as several married couples go camp-out together women soon realize that men expect them do perform all work while they relax leading several comedic situations"
1912,"put yourself his place","american","theodore marston","william garwood marguerite snow","drama","story is english manufacturing town huddersfield which henry little worker inventor is persecuted by trade unions jealous because he was better trained than his fellows squire raby little's uncle is forcible character pleasant love story offsets labor troubles purpose novel was expose without censure errors early trades unions"
1912,"unseen enemy","american","d w griffith","lillian gish dorothy gish","otros","physician's death orphans his two adolescent daughters their older brother is able convert some doctor's small estate cash it is late day banks closed he stores money his father's household safe slatternly housekeeper aware money enlists criminal acquaintance help crack safe they lock daughters adjacent room drunken housekeeper menaces them by brandishing gun through hole wall resourceful girls use telephone call their brother who has returned town he gets message organizes rescue party6"
1913,"atlantis","american","unknown","","otros","dr friedrich von kammacher olaf fnss surgeon is devastated after his wife develops brain disorder is institutionalized advice his parents von kammacher leaves denmark gain some respite from his wife's illness von kammacher travels berlin where he meets young dancer named ingigerd ida orloff doctor becomes fond her very interested her however she has large amount admirers thus von kammacher gives up her however while paris he sees ad paper that she is going new york her father decides follow her von kammacher buys first ticket same liner as ingigered ss roland"
Von Kammacher and Ingigerd arrive in New York and she is unable to continue with her career since she is still shocked over the Roland disaster. Von Kammacher tries to tell her that he loves her and wants a life with her in New York but she refuses to be tied down by one man. He gives up on her and they go their separate ways after she turns down his offer to live with him in New York. Von Kammacher is impressed by an art gallery and takes an interest in fine art. Through the artistic community,"he is introduced kind pleasant sculptor named eva burns","they develop friendship new york doctor","who is friend von kammacher","offers him use mountain cabin","where it is hoped that friedrich will find some peace solace while he is mountains","friedrich falls critically ill eva takes it upon herself tend him mountain cabin as she nurses him back health"
1913,"barney oldfield's race life","american","mack sennett","mack sennett mabel normand ford sterling barney oldfield","comedy","barney oldfield races speeding locomotive rescue damsel distress tied up tracks by evil villain ford sterling"
1913,"bob's baby","american","unknown","jean acker","comedy","bob typically devoted husband is told by his wife that stork has paid visit their household first time it turns out be puppy second time expecting another canine he is surprised find more traditional offspring"
1913,"cohen saves flag","american","mack sennett","ford sterling mabel normand","comedy","cohen ford sterling his rival goldberg henry lehrman enlist union army during american civil war goldberg receives lieutenants commission while cohen becomes sergeant during battle gettysburg cohen inadvertently becomes hero when he tosses back enemy hand grenade raises fallen flag midst conflict goldberg conspires have cohen shot by firing squad but cohens girlfriend rebecca mabel normand rides rescue details cohens battlefield bravery cohen is hailed his valor later exacts revenge goldberg"
1913,"dr jekyll mr hyde","american","herbert brenon carl laemmle","king baggot","horror","dr henry jekyll king baggot sends note his fiance alice jane gail her father matt b snyder say that instead accompanying them opera he must give more time his charity patients jekylls practice his friends dr lanyon howard crampton utterson william sorrel lawyer ridicule him what they consider his dangerous research alice her father also visit jekylls rooms but although apologetic doctor insists devoting his time his patients that night however jekyll undertakes dangerous experiment swallowing drug intended releases his evil self his body convulses he transforms into hunched twisted figure"
1913,"evidence film","american","lawrence marston edwin thanhouser","william garwood marie eline","crime","evidence film tells story messenger boy film studio who is wrongfully accused stealing bonds worth 20000 he is saved by his sister film cutter who comes across some footage her brother inadvertently walking into location shot being knocked down by real-life villain"
1913,"face window","american","unknown","earle foxe irene boyle stuart holmes","drama","as described 1913 blurb foreman sawmill misconstrues disappearance his ward who has taken drastic measures protect her guardian's interests startling incident reveals girl's motive2"
1913,"quakeress","american","raymond b west","louise glaum","drama","setting is early american village where young quaker woman priscilla played by glaum is love schoolmaster john hart played by ray local minister rev cole played by taylor who calls her her cabin flowers is unwelcome suitor revenge he has blue laws passed among them is one requiring attendance church sunday"
1913,"restless spirit","american","allan dwan","j warren kerrigan pauline bush","drama","film begins dreamer restless disappointed dreamer who has wife child he gazes his hands dreams becoming conqueror but laments that no chance comes him continues dream dreamer becomes subject ridicule his wife becomes subject pity by community dreamer decides enter world men abandons his wife leaving her seek refuge her father her father wishes her marry wealthy gentleman who is also stranger town dreamer heads into desert wanders until exhaustion takes its toll woman desert flower finds him takes him her hut desert there woman spends her time looking over garments man who courted her same stranger now attempting marry dreamer's wife woman learns dreamer's story shows dreamer futility conquering worlds unknown when he cannot conquer his own small corner world1 dreamer sees himself roles great conquerors but each vision ends death dreamer's wife has been kicked out refusing marry stranger is reunited dreamer edge desert stranger is sent out into desert dreamer his wife return town time dreamer becomes respected by community2"
1913,"telephone girl lady","american","dw griffith","mae marsh claire mcdowell","drama","telephone operator is walking out handsome police sergeant her father insists that husband her is plump comfortable grocery store owner lady picks up her jewels from jewellery brings them home followed by jewel thief stolen bicycle she puts them her safe goes give telephone girl present necklace thanks her work as lady answers telephone accepts telephone girl's effusive thanks door creaks open it is masked thief she tells girl other end line that she's being robbed while thief grills lady telephone girl calls police but there's riot calls about that prevent her getting through she runs out exchange spots sergeant conveniently riding by he lifts her onto his horse they gallop rescue meanwhile implicit rape threat thief has forced lady reveal safe concealed behind picture just time sergeant bursts as thief escapes jewels after rousing fight helped by feisty telephone girl neighbours including lady huge hat sergeant drags away thief lady rewards sergeant lovers fall into each other's arms"
1914,"avenging conscience","american","d w griffith","henry b walthall blanche sweet","drama horror","young man henry b walthall falls love beautiful woman blanche sweet but is prevented by his uncle spottiswoode aitken from pursuing her tormented by visions death suffering deciding that murder is way things young man kills his uncle builds wall hide body"
1914,"battle sexes","american","dw griffith","donald crisp lilian gish","drama","frank andrews donald crisp is well-to-do middle class apartment dweller who is devoted his wife mary alden two children john robert harron jane lillian gish andrews enters into mid-life crisis when fetching young lady cleo fay tincher moves into apartment next door andrews' cleo takes note andrews' interest her begins flirt him going so far as set fire her apartment order attract his aid before long andrews cleo are involved affair andrews begins neglect both his family responsibilities work humiliated aghast her mother's silent suffering over situation jane goes next door idea killing cleo but instead they strike up conversation mutual understanding they hatch plan whereby one cleo's former beaus owen moore appears be courting jane front andrews who swiftly condemns his daughter's interest man jane counters by pointing out andrews' own poor moral choices he sees error his ways andrews is happily reconciled his family cleo sets out search new digs"
1914,"between showers","american","henry lehrman","charlie chaplin ford sterling chester conklin","otros","chaplin sterling play two young men masher rival masher who fight over chance help young woman clifton cross muddy street sterling first sees woman trying cross offers her umbrella he stole from policeman he asks her wait him as he goes get something help her chaplin comes along offers woman help her cross street as well wait his return while sterling chaplin go get logs policeman conklin lifts woman across street when sterling returns log he is indignant that woman did not wait him come back help her cross muddy street demands umbrella back when woman refuses they engage fight which eventually involves chaplin"
1914,"brewster's millions","american","oscar apfel cecil b demille","edward abeles sydney deane joseph singleton","comedy","wealthy edwin peter brewster disowns his son robert when he marries louise sedgwick woman modest means many years later when robert dies however ep brewster leaves one million dollars their son monty bank clerk shortly thereafter monty learns that he has inherited seven million dollars from his uncle george stipulation that monty divest himself his grandfather's fortune within year without revealing why further stipulation is that money must be used only personal expenditures monty spends lavishly invests stock makes bet prize fight but bet stocks pay off desperation he rents repairs yacht sail around world one port monty saves peggy gray his childhood sweetheart from abduction by arab sheik eve gaining possession money monty proposes peggy who eagerly accepts thinking that monty is pauper then cable informs monty that swearengen jones his uncle's executor has absconded fortune unperturbed peggy monty marry but then are presented inheritance as wedding present by jones who turns out be practical joker"
1914,"busy day","american","charlie chaplin","charlie chaplin mack swain phyllis allen","comedy","busy day wife played by energetic charlie chaplin becomes jealous her husband's interest another woman during military parade her way attack couple wife interrupts set film knocking over film director police officer finally husband pushes wife off pier she falls into harbor"
1914,"call north","american","oscar apfel cecil b demille","robert edeson theodore roberts","adventure","graehme ned stewart's father was accused adultery killed being innocent ned decided avenge his father but got captured sent long journey death la longue traverse fortunately virginia saves his life story's villain confesses ned's innocence"
1914,"captain alvarez","american","rollin s sturgeon","edith storey william desmond taylor george holt","historical drama","melodrama about american who becomes revolutionary leader battling evil government spies argentina william desmond taylor portrays title role denis gage deane-tanner taylor's younger brother is thought have played small role blacksmith"
1914,"caught cabaret","american","mabel normand","charlie chaplin mabel normand edgar kennedy","comedy","chaplin plays waiter who fakes being greek ambassador impress girl he then is invited garden party where he gets trouble girl's jealous boyfriend mabel normand wrote directed comedies before chaplin mentored her young co-star"
1914,"caught rain","american","charlie chaplin","charlie chaplin mack swain alice davenport","comedy","action starts park where man is trying romance matronly woman wearing fur stole"
